Flower_ID,Experiment,Species,Focal_Loc,Plant,Treatment,HP_time,PD_Loc,PD_plant,Date,Damage,Nectar_Out,Brix,Pollen_added_after_visit,Tube_Count
435,195,H.rostrata,Pino_Colina,PC-ROS-14,PM,900,Finca_del_Sol,FDS-ROS-01,20190316,L,NA,NA,0,0
443,199,H.rostrata,Pino_Colina,PC-ROS-21,PM,1000,Finca_del_Sol,FDS-ROS-01,20190316,L,NA,NA,0,0
480,216,H.rostrata,Garden,G-ROS-02,PM,1130,Finca_del_Sol,FDS-ROS-01,20190320,L,NA,NA,0,0
407,183,H.tortuosa,Pino_Colina,PC-TOR-01,PM,830,Pino_Colina,PC-TOR-02,20190315,L,NA,NA,0,1
408,183,H.tortuosa,Pino_Colina,PC-TOR-01,HP,830,Pino_Colina,PC-TOR-02,20190315,L,NA,NA,NA,1
441,198,H.tortuosa,Pino_Colina,PC-TOR-06,PM,930,Pino_Colina,PC-TOR-05,20190316,M,NA,NA,0,0
440,198,H.tortuosa,Pino_Colina,PC-TOR-06,HP,930,Pino_Colina,PC-TOR-05,20190316,M,NA,NA,NA,0
446,200,H.tortuosa,Garden,G-TOR-16,PM,1030,Pino_Colina,PC-TOR-05,20190316,L,NA,NA,0,0
465,210,H.tortuosa,Pino_Colina,PC-TOR-07,PM,900,Garden,G-TOR-20,20190320,M,NA,NA,0,0
466,210,H.tortuosa,Pino_Colina,PC-TOR-07,HP,900,Garden,G-TOR-20,20190320,L,NA,NA,NA,1
469,212,H.tortuosa,Garden,G-TOR-13,HP,1000,PIno_Colina,PC-TOR-01,20190320,L,NA,NA,NA,0
473,213,H.tortuosa,Garden,G-TOR-17,PM,1030,Garden,G-TOR-20,20190320,L,NA,NA,0,0
475,214,H.tortuosa,Garden,G-TOR-06,PM,1100,Garden,G-TOR-20,20190320,L,NA,NA,0,1
476,214,H.tortuosa,Garden,G-TOR-06,HP,1100,Garden,G-TOR-20,20190320,L,NA,NA,NA,1
479,215,H.tortuosa,Garden,G-TOR-02,PM,1100,Garden,G-TOR-20,20190320,L,NA,NA,0,1
478,215,H.tortuosa,Garden,G-TOR-02,HP,1100,Garden,G-TOR-20,20190320,L,NA,NA,NA,0
416,187,H.wagneriana,Pino_Colina,PC-WAG-03,PM,930,Garden,G-WAG-04,20190315,L,NA,NA,0,0
417,187,H.wagneriana,Pino_Colina,PC-WAG-03,HP,930,Garden,G-WAG-04,20190315,H,NA,NA,NA,2
418,188,H.wagneriana,Pino_Colina,PC-WAG-01,PM,930,Pino_Colina,PC-WAG-11,20190315,L,NA,NA,0,2
421,189,H.wagneriana,Garden,G-WAG-04,PM,1000,Pino_Colina,PC-WAG-11,20190315,L,NA,NA,0,0
